Value: 0.5 Saturation: 0.75 Starting Hue: 120 Ending Hue: 0 Num Points: 256
All values are in hex

R G B
----
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
2 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
3 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
4 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
5 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
6 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
7 8 2
8 8 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 7 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 6 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 5 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 4 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 3 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
8 2 2
